['1400 BENSON AVENUE', 'BROOKLYN', {u'lat': 40.6104383, u'lng': -74.01335399999999}]
['1 ALBEMARLE ROAD', 'BROOKLYN', {u'lat': 40.645006, u'lng': -73.98090739999999}]
['5601 16 AVENUE', 'BROOKLYN', {u'lat': 40.6266652, u'lng': -73.989612}]
['9301 AVENUE B', 'BROOKLYN', {u'lat': 40.65163, u'lng': -73.91427200000001}]
['1875 EAST  17 STREET', 'BROOKLYN', {u'lat': 40.6050652, u'lng': -73.95565189999999}]
['525 LENOX ROAD', 'BROOKLYN', {u'lat': 40.6547126, u'lng': -73.9410042}]
['6302 AVENUE U', 'BROOKLYN', {u'lat': 40.6158515, u'lng': -73.9126625}]
['1633 EAST  8 STREET', 'BROOKLYN', {u'lat': 40.6087848, u'lng': -73.9650626}]
['2401 NEPTUNE AVENUE', 'BROOKLYN', {u'lat': 40.5784581, u'lng': -73.9923972}]
['2500 NOSTRAND AVENUE', 'BROOKLYN', {u'lat': 40.6237116, u'lng': -73.9463188}]
['976 PRESIDENT STREET', 'BROOKLYN', {u'lat': 40.6689485, u'lng': -73.96069609999999}]
['800 GATES AVENUE', 'BROOKLYN', {u'lat': 40.6880664, u'lng': -73.93267689999999}]
['1580 DEAN STREET', 'BROOKLYN', {u'lat': 40.676079, u'lng': -73.9355624}]
['5404 TILDEN AVENUE', 'BROOKLYN', {u'lat': 40.6484359, u'lng': -73.9256508}]
['249 EAST 17TH STREET', 'BROOKLYN', {u'lat': 40.644893, u'lng': -73.962727}]
['72 VERONICA PLACE', 'BROOKLYN', {u'lat': 40.6483745, u'lng': -73.9531324}]
['7000 21 AVENUE', 'BROOKLYN', {u'lat': 40.612246, u'lng': -73.987193}]
['18 MARLBOROUGH ROAD', 'BROOKLYN', {u'lat': 40.6498584, u'lng': -73.9660851}]
['108 MONTROSE AVENUE', 'BROOKLYN', {u'lat': 40.7069186, u'lng': -73.94541939999999}]
['1037 EAST  54 STREET', 'BROOKLYN', {u'lat': 40.631938, u'lng': -73.92388}]
['601 OCEANVIEW AVENUE', 'BROOKLYN', {u'lat': 40.5802217, u'lng': -73.9574837}]
['1801 AVENUE Y', 'BROOKLYN', {u'lat': 40.591092, u'lng': -73.951555}]
['1866 EAST  17 STREET', 'BROOKLYN', {u'lat': 40.6050414, u'lng': -73.9556849}]
['114 KOSCIUSKO STREET', 'BROOKLYN', {u'lat': 40.6906339, u'lng': -73.94952289999999}]
['60 COOK STREET', 'BROOKLYN', {u'lat': 40.7028143, u'lng': -73.94172929999999}]
['360 KEAP STREET', 'BROOKLYN', {u'lat': 40.7096641, u'lng': -73.95404640000001}]
['7305 FT HAMILTON PARKWAY', 'BROOKLYN', {u'lat': 40.6265801, u'lng': -74.0152513}]
